account_name,tier_label,gap_days,sales_vs_baseline_%,prob_decline,rep_message
FINE LINE METAL FABRICATORS,Black,547.0,-82.5166825548141,0.0525088756526879,Black tier customer • Last order 547d (typ 31d) • Sales ⬇︎83% vs. norm
SCOBERT INC,Black,578.0,3.925004380585251,0.0455035073302197,Black tier customer • Last order 578d (typ 31d) • Sales ⬆︎4% vs. norm
SCANDINAVIAN FABRICATION LLC,Black,457.0,-87.442502299908,0.0453387111516581,Black tier customer • Last order 457d (typ 61d) • Sales ⬇︎87% vs. norm
NORTH TEXAS FAB LLC,Black,426.0,-84.0858623242043,0.1023403552477899,Black tier customer • Last order 426d (typ 31d) • Sales ⬇︎84% vs. norm
"31 THREE DESIGN & METALWORK, L",Black,426.0,-82.992,0.1027226108168731,Black tier customer • Last order 426d (typ 31d) • Sales ⬇︎83% vs. norm
EICA INDUSTRIES INC dab EICA TANKHEADS,Black,457.0,25.152306353350752,0.0900633914760353,Black tier customer • Last order 457d (typ 31d) • Sales ⬆︎25% vs. norm
STEWART STAINLESS FABRICATING,Black,456.0,31.036931818181813,0.0660914267622553,Black tier customer • Last order 456d (typ 46d) • Sales ⬆︎31% vs. norm
HIGHWOOD MACHINE TOOL LLC,Black,488.0,-47.64667956157318,0.0050351728261422,Black tier customer • Last order 488d (typ 151d) • Sales ⬇︎48% vs. norm
MIDWEST FAB AND CONSTRUCTION I,Black,334.0,-80.4850269160927,0.1667839714673699,Black tier customer • Last order 334d (typ 31d) • Sales ⬇︎80% vs. norm
"SULLIVAN TOOL & MFG, INC.",Black,639.0,-52.65384615384615,4.2562669124986766e-05,Black tier customer • Last order 639d (typ 319d) • Sales ⬇︎53% vs. norm
ULRICH HORSE BARNS LLC,Black,397.0,90.50813348985409,0.1252004196248227,Black tier customer • Last order 397d (typ 31d) • Sales ⬆︎91% vs. norm
HVAC MANUFACTURING INC,Black,304.0,-90.4814609850581,0.1919547884776584,Black tier customer • Last order 304d (typ 31d) • Sales ⬇︎90% vs. norm
H H DISTRIBUTORS,Black,580.0,-72.28967290387087,0.000118698463921,Black tier customer • Last order 580d (typ 290d) • Sales ⬇︎72% vs. norm
COTTERMAN COMPANY,Black,365.0,-23.84776536312848,0.149951054503206,Black tier customer • Last order 365d (typ 29d) • Sales ⬇︎24% vs. norm
MID CITIES MFG CO,Black,304.0,-78.11392105885133,0.1917545273261372,Black tier customer • Last order 304d (typ 31d) • Sales ⬇︎78% vs. norm
PCI LLC Pottorff,Black,366.0,-14.155357978474491,0.1432289856690395,Black tier customer • Last order 366d (typ 31d) • Sales ⬇︎14% vs. norm
ZURN INDUSTRIES,Black,304.0,-75.07104450759512,0.1954844928098082,Black tier customer • Last order 304d (typ 31d) • Sales ⬇︎75% vs. norm
ATLAS MACHINE & WELDING SERVIC,Black,304.0,-73.2276897414512,0.1921657559259823,Black tier customer • Last order 304d (typ 31d) • Sales ⬇︎73% vs. norm
"MODULE TRUCK SYSTEMS, INC",Black,365.0,17.207090358841338,0.1476055354374472,Black tier customer • Last order 365d (typ 30d) • Sales ⬆︎17% vs. norm
CAPROCK METAL WORKS INC,Black,365.0,12.473423104181425,0.1453677913280945,Black tier customer • Last order 365d (typ 31d) • Sales ⬆︎12% vs. norm
RENAISSANCE MACHINE LP,Black,639.0,23.883770375620127,4.3949065005891616e-05,Black tier customer • Last order 639d (typ 319d) • Sales ⬆︎24% vs. norm
W W FIBERGLASS TANK CO,Black,304.0,-36.917906865098416,0.1945159153204889,Black tier customer • Last order 304d (typ 31d) • Sales ⬇︎37% vs. norm
RELIABLE DESIGN SERVICES LP,Black,274.0,-64.54592098512057,0.2220264542712332,Black tier customer • Last order 274d (typ 31d) • Sales ⬇︎65% vs. norm
ATRON GROUP LLC,Black,336.0,50.1203990368077,0.1741221643365873,Black tier customer • Last order 336d (typ 30d) • Sales ⬆︎50% vs. norm
C & L MACHINE WORKS,Black,335.0,21.816283924843425,0.1701114930849971,Black tier customer • Last order 335d (typ 31d) • Sales ⬆︎22% vs. norm
EPIC PRODUCTS INTERNATIONAL CO,Black,273.0,-73.3427114471602,0.1684381041139992,Black tier customer • Last order 273d (typ 46d) • Sales ⬇︎73% vs. norm
FABRITRON COMPANY,Black,548.0,-8.849976336961662,0.0002126368762701,Black tier customer • Last order 548d (typ 274d) • Sales ⬇︎9% vs. norm
FABRICON INC,Black,306.0,139.44201312910286,0.2111730770159855,Black tier customer • Last order 306d (typ 29d) • Sales ⬆︎139% vs. norm
UNIVERSAL STAINLESS SOULTIONS,Black,304.0,-90.73243647234679,0.0291982297865012,Black tier customer • Last order 304d (typ 121d) • Sales ⬇︎91% vs. norm
THOMPSON PIPE GROUP - PRESSURE,Black,304.0,104.13276035475909,0.2030769605894743,Black tier customer • Last order 304d (typ 31d) • Sales ⬆︎104% vs. norm
QUALITY IRONWORKS,Black,275.0,-26.335877862595424,0.2276794121887568,Black tier customer • Last order 275d (typ 30d) • Sales ⬇︎26% vs. norm
RADFORD MFG CO INC,Black,366.0,-84.13950591654556,0.0049409570396375,Black tier customer • Last order 366d (typ 183d) • Sales ⬇︎84% vs. norm
CONTINENTAL ELECTRONICS CORPOR,Black,212.0,-84.36893742032039,0.2916554631109962,Black tier customer • Last order 212d (typ 31d) • Sales ⬇︎84% vs. norm
"BLACK IRON PRODUCTS, LLC",Black,243.0,-52.492362427008,0.2569655470185006,Black tier customer • Last order 243d (typ 31d) • Sales ⬇︎52% vs. norm
SOUTHWEST PRECISION METALFAB,Black,457.0,-69.05176362803482,0.0003581049161523,Black tier customer • Last order 457d (typ 274d) • Sales ⬇︎69% vs. norm
HESSE INDUSTRIAL SALES DBA VAN,Black,184.0,-97.08542358510563,0.3270525407494095,Black tier customer • Last order 184d (typ 31d) • Sales ⬇︎97% vs. norm
SHACKELFORD EQUIPMENT,Black,274.0,50.0,0.2421073859257828,Black tier customer • Last order 274d (typ 30d) • Sales ⬆︎50% vs. norm
PUBLIC STEEL INC,Black,212.0,-76.25,0.2258439581193215,Black tier customer • Last order 212d (typ 46d) • Sales ⬇︎76% vs. norm
FIRST QUALITY FABRICATORS,Black,273.0,87.02428416092786,0.2343346940914876,Black tier customer • Last order 273d (typ 31d) • Sales ⬆︎87% vs. norm
WELASCO INC,Black,304.0,-52.634695085849614,0.0293822807895342,Black tier customer • Last order 304d (typ 121d) • Sales ⬇︎53% vs. norm
