account_name,month,tons,net_sales,avg6m_tons,avg6m_sales,gap_days,median_gap,alert_tier,growth_tier,tier_label,buyer_type
BULLOCH FABRICATING,2025-06-01,7.9,9163.0,25.566666666666666,29235.333333333332,31.0,31.0,Black,,Black,regular
UNIFIED SUPPLY AND SERVICES CO,2025-02-01,7.9,7129.0,9.766666666666666,14373.5,31.0,31.0,Black,,Black,regular
THE BIONIC WELDER LLC,2024-10-01,7.8999999999999995,6928.0,23.733333333333334,22132.333333333332,30.0,31.0,Black,,Black,regular
ALCOM LLC,2023-12-01,7.7,47967.0,16.8,100737.16666666667,30.0,31.0,Black,,Black,regular
"GLF INNOVATIONS,  LLC",2024-06-01,7.7,7419.0,29.433333333333337,52246.833333333336,31.0,31.0,Black,,Black,regular
THE BIONIC WELDER LLC,2024-04-01,7.7,6994.0,16.733333333333334,18449.333333333332,31.0,31.0,Black,,Black,regular
GO INDUSTRIES,2024-11-01,7.699999999999999,7324.0,14.666666666666666,16112.5,31.0,31.0,Black,,Black,regular
THE BIONIC WELDER LLC,2025-06-01,7.6000000000000005,8035.0,27.983333333333334,28361.833333333332,31.0,31.0,Black,,Black,regular
Road Armor Industries LLC,2023-09-01,7.6,14880.0,34.1,42918.25,31.0,30.5,Black,,Black,regular
DAVIS METAL STAMPING INC,2024-06-01,7.6,10018.0,23.633333333333336,28806.666666666668,31.0,31.0,Black,,Black,regular
HALO FABRICATION AND METALWORK,2024-11-01,7.6,6562.0,30.150000000000002,31960.333333333332,31.0,31.0,Black,,Black,regular
VENT A HOOD CO,2023-12-01,7.5,45883.0,25.03333333333333,170846.5,30.0,31.0,Black,,Black,regular
"GLF INNOVATIONS,  LLC",2025-04-01,7.5,11664.0,23.433333333333334,29407.833333333332,31.0,31.0,Black,,Black,regular
WRICO STAMPING CO OF TEXAS,2024-12-01,7.4,21613.0,31.649999999999995,48511.5,30.0,31.0,Black,,Black,regular
UNIFIED SUPPLY AND SERVICES CO,2024-09-01,7.4,18289.0,16.133333333333336,23561.166666666668,31.0,31.0,Black,,Black,regular
LEE PRODUCTS INC,2024-07-01,7.4,8372.0,12.183333333333332,21341.666666666668,30.0,31.0,Black,,Black,regular
ALCOM LLC,2023-10-01,7.3,58227.0,21.1,121471.2,30.0,31.0,Black,,Black,regular
WICHITA TANK MFG INC,2024-12-01,7.3,26686.0,21.549999999999997,56374.666666666664,30.0,31.0,Black,,Black,regular
LUNN MOTORSPORTS,2024-09-01,7.199999999999999,10535.0,43.199999999999996,44280.333333333336,31.0,31.0,Black,,Black,regular
CUSTOM MFG CO,2023-10-01,7.1,37378.0,17.18,32493.6,30.0,31.0,Black,,Black,regular
C & T CUSTOM STAINLESS,2025-03-01,7.1,20691.0,19.45,61414.333333333336,28.0,31.0,Black,,Black,regular
BULLOCH FABRICATING,2024-04-01,7.1,14429.0,15.916666666666666,46054.166666666664,31.0,31.0,Black,,Black,regular
SUPREME CORP OF TEXAS DBA WABA,2024-03-01,7.1,8057.0,15.466666666666667,19711.333333333332,29.0,31.0,Black,,Black,regular
CARGO CRAFT OF TEXAS,2023-12-01,7.0,34958.0,15.950000000000001,80686.5,30.0,31.0,Black,,Black,regular
HERNCO FABRICATION & SERVICES,2024-12-01,7.0,31075.0,18.066666666666666,47139.333333333336,30.0,31.0,Black,,Black,regular
KOERBER SUPPLY CHAIN LLC DBA SIEMENS PARCEL LOGISTICS L,2024-07-01,7.0,16701.0,23.583333333333332,42632.666666666664,30.0,31.0,Black,,Black,regular
DAVIS METAL STAMPING INC,2024-01-01,7.0,9686.0,19.616666666666667,25614.333333333332,61.0,31.0,Black,,Black,regular
AFFILIATED ENERGY PRODUCTS INC,2023-08-01,6.9,22335.0,8.8,46349.0,31.0,31.0,Black,,Black,regular
SPECIAL PRODUCTS & MFG INC,2024-01-01,6.9,20847.0,30.16666666666667,64040.0,31.0,31.0,Black,,Black,regular
M & M PRECISION METAL FAB,2024-04-01,6.9,19509.0,17.25,25489.666666666668,31.0,31.0,Black,,Black,regular
"Crystal Distribution, Inc.",2024-05-01,6.9,8920.0,15.325000000000001,19417.0,30.0,31.0,Black,,Black,regular
HYPER-HEAD,2024-10-01,6.9,6536.0,15.950000000000001,16252.833333333334,30.0,31.0,Black,,Black,regular
BUFERD CO INC DBA UNITY MFG,2025-01-01,6.8999999999999995,14567.0,14.15,20500.833333333332,31.0,31.0,Black,,Black,regular
BRIM LAUNDRY MACHINERY CO,2024-04-01,6.8,7116.0,12.183333333333332,27350.833333333332,31.0,31.0,Black,,Black,regular
MFPHD MANUFACTURING,2025-04-01,6.7,67356.0,14.416666666666666,44042.333333333336,31.0,31.0,Black,,Black,regular
FORT WORTH F & D HEAD CO,2024-02-01,6.7,38048.0,13.033333333333333,81484.33333333333,31.0,31.0,Black,,Black,regular
ADVANTAGE ENVIROMENTAL LIGHTIN,2024-11-01,6.7,8700.0,13.6,19384.333333333332,31.0,31.0,Black,,Black,regular
SCOTT MFG CO,2024-05-01,6.6000000000000005,36173.0,18.53333333333333,57498.833333333336,30.0,31.0,Black,,Black,regular
DAVIS METAL STAMPING INC,2025-05-01,6.6000000000000005,11274.0,14.766666666666666,16579.5,30.0,31.0,Black,,Black,regular
LAMBERT'S ORNAMENTAL IRON,2024-11-01,6.6,12867.0,20.333333333333336,30333.5,31.0,31.0,Black,,Black,regular
REFRIGERATION DESIGN TECHNOLOG,2024-08-01,6.6,12834.0,11.366666666666665,34883.833333333336,31.0,31.0,Black,,Black,regular
AST MANUFACTURING,2024-06-01,6.6,11366.0,15.916666666666666,28585.666666666668,31.0,31.0,Black,,Black,regular
